station_id,latitude,longitude,subway_line,address_by_law
1,37.55572891,126.97214509999999,"1,4,KJ,AP",1114012000.0
2,37.56562424,126.97693629999999,"1,2",1114016700.0
3,37.570169,126.983099,1,1111012600.0
4,37.5715695,126.991895,"1,3,5",1111015600.0
5,37.570988,127.001921,1,1111016300.0
6,37.5712557,127.00908009999999,"1,4",
7,37.57610703,127.0245361,"1,2,US",1123010100.0
8,37.57819600000001,127.03486699999999,1,1123010300.0
9,37.58016586,127.0443268,"1,KJ,KC",1123010700.0
10,37.57324600000001,127.01636509999999,"1,6",1111017500.0
11,37.56604767,126.982399,2,1114010400.0
12,37.56610107,126.99105829999999,"2,3",1114015500.0
13,37.5666977,126.99812299999999,"2,5",1114015000.0
14,37.56497879999999,127.007742,"2,4,5",1114014900.0
15,37.5653138,127.0162493,"2,6",1114016200.0
16,37.56454086,127.029541,2,1120010300.0
17,37.56117249,127.0372696,"2,5,DL,KJ",1120010700.0
18,37.55560303,127.0437622,2,1120010700.0
19,37.54716873,127.04733279999999,2,1120011400.0
20,37.544569,127.05597399999999,2,1120011500.0
21,37.5398956,127.0706737,"2,7",1121510500.0
22,37.537145,127.08613500000001,2,1121510500.0
23,37.53538895,127.09455109999999,2,1121510300.0
24,37.52083206,127.10414890000001,2,1171010200.0
25,37.513342,127.100155,"2,8",1171010200.0
26,37.5116359,127.08554199999999,2,1171010100.0
27,37.51133220000001,127.074955,"2,9",1171010100.0
28,37.50889587,127.0630798,2,1168010500.0
29,37.504507200000006,127.048999,"2,DL",1168010100.0
30,37.5006645,127.036426,2,1168010100.0
31,37.497942,127.027621,"2,ND",1168010100.0
32,37.493682,127.013705,"2,3",
33,37.49184,127.00768799999999,2,1165010800.0
34,37.4816246,126.9972916,2,1165010100.0
35,37.47661209,126.9816284,"2,4",1159010700.0
36,37.477117,126.96341799999999,2,1162010100.0
37,37.48105621,126.9523544,2,1162010100.0
38,37.482476,126.941574,2,1162010100.0
39,37.48445511,126.9293976,2,1162010200.0
40,37.48755264,126.9129562,2,1159010900.0
41,37.48535538,126.901123,2,1153010200.0
42,37.4919784,126.89544240000001,"2,7",1153010200.0
43,37.50874329,126.8911285,"1,2",1153010100.0
44,37.517989,126.89480800000001,2,1156012100.0
45,37.524152,126.89628,"2,5",1156011700.0
46,37.533875,126.90196,"2,9",1156011600.0
47,37.5499284,126.91440700000001,"2,6",1144012000.0
48,37.556838,126.923774,"2,KJ,AP",1144012100.0
49,37.5551399,126.9369074,2,1141011600.0
50,37.5568038,126.94630900000001,2,1144010800.0
51,37.55762100000001,126.9561996,2,1141011000.0
52,37.559729499999996,126.96321,"2,5",1141010200.0
53,37.56227112,127.0510025,2,1120010600.0
54,37.5700591,127.0464306,2,1120012200.0
55,37.51427279999999,126.88279569999999,2,1153010100.0
56,37.51255035,126.8657455,2,1147010100.0
57,37.51985168,126.85305790000001,2,1147010100.0
58,37.57384491,127.0377426,2,1123010200.0
59,37.53174979999999,126.84671499999999,"2,5",1150010300.0
61,37.63650513,126.91883090000002,3,1138011400.0
62,37.618837799999994,126.9213288,"3,6",1138010300.0
63,37.61091232,126.92973329999998,"3,6",1138010300.0
64,37.600869,126.93576100000001,3,1138010200.0
65,37.588792,126.94409399999999,3,1141011100.0
66,37.5822759,126.95034650000001,3,1141011100.0
67,37.57445300000001,126.95791799999999,3,1141010900.0
68,37.57588577,126.97323610000001,3,1111010700.0
69,37.576556,126.985472,3,1111014100.0
70,37.561279799999994,126.99427279999999,"3,4",1114013200.0
71,37.55904388,127.00503540000001,3,1114014400.0
72,37.55444336,127.01100159999999,"3,6",1114016200.0
73,37.54809570000001,127.0158615,3,1120011200.0
74,37.540275799999996,127.01824740000002,"3,KJ",1120011300.0
75,37.52683258,127.02829740000001,3,1168010700.0
76,37.5162276,127.0198649,3,1168010700.0
77,37.51307297,127.0117645,3,1165010600.0
78,37.505981,127.0044362,"3,7,9",1165010700.0
79,37.48534393,127.0162125,3,1165010800.0
80,37.4845326,127.03411200000001,"3,ND",1165010800.0
81,37.487035,127.04691799999999,3,1168011800.0
82,37.4908992,127.05538999999999,"3,DL",1168011800.0
83,37.494569,127.063446,3,1168010600.0
84,37.496683000000004,127.070549,3,1168010600.0
85,37.493601,127.079526,3,1168010300.0
86,37.483976,127.08413700000001,3,1168011400.0
87,37.48739243,127.1018524,"3,DL",1168011500.0
88,37.4925644,127.11873200000001,"3,8",1171010700.0
89,37.4958132,127.1243402,3,1171010700.0
90,37.5019926,127.128184,"3,5",1171011200.0
91,37.6703905,127.079252,4,1135010500.0
92,37.660820799999996,127.07356680000001,4,1135010500.0
93,37.656398700000004,127.06383100000001,"4,7",1135010500.0
94,37.6529874,127.046852,"1,4",1132010700.0
95,37.6486534,127.03473000000001,4,1132010700.0
96,37.637979,127.02561999999999,4,1130510200.0
97,37.626394,127.026132,4,1130510100.0
98,37.613251,127.030084,4,1130510100.0
99,37.6041515,127.025429,4,1129013400.0
100,37.5926925,127.016469,"4,US",1129011900.0
101,37.588442,127.0061645,4,1129011100.0
102,37.582417799999995,127.001873,4,1111017200.0
103,37.560965,126.98646399999998,4,1114012400.0
104,37.558541,126.97820300000001,4,1114011200.0
105,37.544897,126.97205,4,1117010400.0
106,37.53533779999999,126.973858,"4,6",1117012400.0
